Gene Symbol	RefSeq Genomic Accession	RefSeq Genomic GI	RefSeq mRNA Accession	RefSeq ncRNA Accession	RefSeq Nucleotide GI	RefSeq Protein Accession	RefSeq Protein GI	
cgd8_590-t26_1-p1	-	-	-	-	-	-	-	
cgd8_600-t26_1-p1	-	-	-	-	-	-	-	
BBM_II03770	NC_027206	829088319	XM_012793059	-	829084196	XP_012648513	829084197	
PBANKA_0413400	-	-	-	-	-	-	-	
PCHAS_0414300	-	-	-	-	-	-	-	
PCYB_083410	NC_020401	457870682	XM_004222079	-	457870412	XP_004222127	457870413	
PF3D7_0315600	-	-	-	-	-	-	-	
PKNH_0826500	-	-	-	-	-	-	-	
PRCDC_0314900	-	-	-	-	-	-	-	
PVX_092665	NC_009914	166093246	XM_001615475	-	156099034	XP_001615525	156099035	
PVX_095452	-	-	-	-	-	-	-	
PYYM_0416300	-	-	-	-	-	-	-	
PmUG01_08040500.1-p1	-	-	-	-	-	-	-	
TGVEG_225890-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_236670-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_277770-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_306510-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_312970-t26_1-p1	-	-	-	-	-	-	-	
TP01_1016-t26_1-p1	-	-	-	-	-	-	-	
TP04_0526-t26_1-p1	-	-	-	-	-	-	-	
cgd6_2950-t26_1-p1	-	-	-	-	-	-	-	
BBM_II00265	NC_027206	829088319	XM_012792374	-	829082826	XP_012647828	829082827	
BBM_III05420	NC_027207	829088320	XM_012794236	-	829086550	XP_012649690	829086551	
PBANKA_1340500	-	-	-	-	-	-	-	
PCHAS_1345100	-	-	-	-	-	-	-	
PCYB_123740	NC_020405	457875032	XM_004223707	-	457873761	XP_004223755	457873762	
PF3D7_1325400	-	-	-	-	-	-	-	
PKNH_1203400	-	-	-	-	-	-	-	
PRCDC_1324400	-	-	-	-	-	-	-	
PVX_116604	-	-	-	-	-	-	-	
PYYM_1342200	-	-	-	-	-	-	-	
PmUG01_12039300.1-p1	-	-	-	-	-	-	-	
TGVEG_204380-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_239050-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_242860-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_256060-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_258080-t26_1-p1	-	-	-	-	-	-	-	
TP01_0153-t26_1-p1	-	-	-	-	-	-	-	
TP03_0647-t26_1-p1	-	-	-	-	-	-	-	
cgd7_1140-t26_1-p1	-	-	-	-	-	-	-	
BBM_I01150	NC_027205	829088318	XM_012791851	-	829081778	XP_012647305	829081779	
PBANKA_1427500	-	-	-	-	-	-	-	
PCHAS_1429300	-	-	-	-	-	-	-	
PCYB_143820	NC_020407	457878398	XM_004224853	-	457877207	XP_004224901	457877208	
PF3D7_0810000	-	-	-	-	-	-	-	
PF3D7_1001100.1	-	-	-	-	-	-	-	
PF3D7_1001200	-	-	-	-	-	-	-	
PF3D7_1477800	-	-	-	-	-	-	-	
PKNH_1430700	-	-	-	-	-	-	-	
PRCDC_0809300	-	-	-	-	-	-	-	
PRCDC_0935700	-	-	-	-	-	-	-	
PRCDC_1000500	-	-	-	-	-	-	-	
PRCDC_1000600	-	-	-	-	-	-	-	
PRCDC_1476800	-	-	-	-	-	-	-	
PVX_123275	NC_009919	166093251	XM_001617167	-	156103048	XP_001617217	156103049	
PYYM_1431300	-	-	-	-	-	-	-	
PmUG01_14046300.1-p1	-	-	-	-	-	-	-	
TGVEG_251550-t26_1-p1	-	-	-	-	-	-	-	
TP01_0067-t26_1-p1	-	-	-	-	-	-	-	
BBM_II03140	NC_027206	829088319	XM_012792936	-	829083950	XP_012648390	829083951	
PBANKA_1030600	-	-	-	-	-	-	-	
PCHAS_1031400	-	-	-	-	-	-	-	
PCYB_134470	NC_020406	457876361	XM_004224472	-	457876060	XP_004224520	457876061	
PCYB_134480	NC_020406	457876361	XM_004224473	-	457876064	XP_004224521	457876065	
PF3D7_1411900	-	-	-	-	-	-	-	
PF3D7_1412000	-	-	-	-	-	-	-	
PKNH_1346300	-	-	-	-	-	-	-	
PKNH_1346400	-	-	-	-	-	-	-	
PRCDC_1411200	-	-	-	-	-	-	-	
PRCDC_1411300	-	-	-	-	-	-	-	
PVX_085855	NC_009918	166093250	XM_001616784	-	156102281	XP_001616834	156102282	
PVX_085860	NC_009918	166093250	XM_001616785	-	156102283	XP_001616835	156102284	
PVX_249300	NW_001849920	166093264	XM_001612331	-	156091741	XP_001612381	156091742	
PYYM_1032700	-	-	-	-	-	-	-	
PmUG01_13046400.1-p1	-	-	-	-	-	-	-	
PmUG01_13046500.1-p1	-	-	-	-	-	-	-	
TGVEG_228370-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_285180-t26_1-p1	-	-	-	-	-	-	-	
BBM_III02685	NC_027207	829088320	XM_012793694	-	829085466	XP_012649148	829085467	
BBM_III09905	NC_027207	829088320	XM_012795100	-	829088278	XP_012650554	829088279	
PBANKA_1109900	-	-	-	-	-	-	-	
PCHAS_1109600	-	-	-	-	-	-	-	
PCYB_071530	NC_020400	457869933	XM_004221550	-	457869353	XP_004221598	457869354	
PCYB_103130	NC_020403	457872214	XM_004222862	-	457871980	XP_004222910	457871981	
PF3D7_0510300	-	-	-	-	-	-	-	
PF3D7_0907500	-	-	-	-	-	-	-	
PKNH_0705300	-	-	-	-	-	-	-	
PKNH_1023300	-	-	-	-	-	-	-	
PRCDC_0509500	-	-	-	-	-	-	-	
PRCDC_0905600	-	-	-	-	-	-	-	
PVX_098075	NC_009915	166093247	XM_001613225	-	156094475	XP_001613275	156094476	
PVX_098820	NC_009912	166093244	XM_001614563	-	156097159	XP_001614613	156097160	
PYYM_1112100	-	-	-	-	-	-	-	
PmUG01_06014600.1-p1	-	-	-	-	-	-	-	
PmUG01_07019100.1-p1	-	-	-	-	-	-	-	
TGVEG_267500-t26_1-p1	-	-	-	-	-	-	-	
TP03_0265-t26_1-p1	-	-	-	-	-	-	-	
BBM_III01820	NC_027207	829088320	XM_012793520	-	829085118	XP_012648974	829085119	
PBANKA_0506700	-	-	-	-	-	-	-	
PCHAS_0506800	-	-	-	-	-	-	-	
PCYB_061680	NC_020399	457869248	XM_004221335	-	457868922	XP_004221383	457868923	
PF3D7_1022500	-	-	-	-	-	-	-	
PKNH_0606800	-	-	-	-	-	-	-	
PRCDC_1021900	-	-	-	-	-	-	-	
PVX_111595	NC_009911	166093243	XM_001608493	-	156082100	XP_001608543	156082101	
PVX_210290	NW_001850020	166093364	XM_001612292	-	156090962	XP_001612342	156090963	
PVX_211290	NW_001850019	166093363	XM_001612311	-	156091311	XP_001612361	156091312	
PVX_223290	NW_001849998	166093342	XM_001612293	-	156090974	XP_001612343	156090975	
PVX_224290	NW_001849997	166093341	XM_001612284	-	156090752	XP_001612334	156090753	
PVX_225290	NW_001849996	166093340	XM_001612296	-	156091036	XP_001612346	156091037	
PVX_226290	NW_001849995	166093339	XM_001612298	-	156091110	XP_001612348	156091111	
PVX_228290	NW_001849993	166093337	XM_001612369	-	156092267	XP_001612419	156092268	
PYYM_0507100	-	-	-	-	-	-	-	
PmUG01_10033700.1-p1	-	-	-	-	-	-	-	
TGVEG_268890-t26_1-p1	-	-	-	-	-	-	-	
TP02_0666-t26_1-p1	-	-	-	-	-	-	-	
BBM_I01005	NC_027205	829088318	XM_012791820	-	829081716	XP_012647274	829081717	
BBM_II03950	NC_027206	829088319	XM_012793094	-	829084266	XP_012648548	829084267	
PBANKA_0833800	-	-	-	-	-	-	-	
PCHAS_0834100	-	-	-	-	-	-	-	
PCYB_074050	NC_020400	457869933	XM_004221802	-	457869857	XP_004221850	457869858	
PF3D7_0933000	-	-	-	-	-	-	-	
PKNH_0731700	-	-	-	-	-	-	-	
PRCDC_0931000	-	-	-	-	-	-	-	
PVX_087055	NC_009912	166093244	XM_001608305	-	156081723	XP_001608355	156081724	
PYYM_0836900	-	-	-	-	-	-	-	
PmUG01_07044800.1-p1	-	-	-	-	-	-	-	
TGVEG_254210-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_283740-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_291950-t26_1-p1	-	-	-	-	-	-	-	
TP01_0577-t26_1-p1	-	-	-	-	-	-	-	
TP04_0560-t26_1-p1	-	-	-	-	-	-	-	
cgd1_1310-t26_1-p1	-	-	-	-	-	-	-	
cgd7_1620-t26_1-p1	-	-	-	-	-	-	-	
BBM_I00185	NC_027205	829088318	XM_012791663	-	829081402	XP_012647117	829081403	
BBM_II00725	NC_027206	829088319	XM_012792465	-	829083008	XP_012647919	829083009	
BBM_III03365	NC_027207	829088320	XM_012793830	-	829085738	XP_012649284	829085739	
PBANKA_1311700	-	-	-	-	-	-	-	
PCHAS_1315000	-	-	-	-	-	-	-	
PCYB_126720	NC_020405	457875032	XM_004224006	-	457874671	XP_004224054	457874672	
PF3D7_1447900	-	-	-	-	-	-	-	
PKNH_1234200	-	-	-	-	-	-	-	
PRCDC_1447200	-	-	-	-	-	-	-	
PVX_118100	NC_009917	166093249	XM_001615863	-	156100370	XP_001615913	156100371	
PYYM_1312500	-	-	-	-	-	-	-	
PmUG01_12069100.1-p1	-	-	-	-	-	-	-	
TGVEG_269000-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_273360-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_316320-t26_1-p1	-	-	-	-	-	-	-	
TP02_0460-t26_1-p1	-	-	-	-	-	-	-	
TP02_0737-t26_1-p1	-	-	-	-	-	-	-	
cgd1_1350-t26_1-p1	-	-	-	-	-	-	-	
BBM_II03005	NC_027206	829088319	XM_012792909	-	829083896	XP_012648363	829083897	
PBANKA_1327041	-	-	-	-	-	-	-	
PBANKA_1327061	-	-	-	-	-	-	-	
PCHAS_1330650	-	-	-	-	-	-	-	
PCHAS_1331700	-	-	-	-	-	-	-	
PCYB_125130	NC_020405	457875032	XM_004223846	-	457874185	XP_004223894	457874186	
PF3D7_1463700	-	-	-	-	-	-	-	
PKNH_1217800	-	-	-	-	-	-	-	
PRCDC_1462900	-	-	-	-	-	-	-	
PVX_117280	NC_009917	166093249	XM_001615700	-	156100044	XP_001615750	156100045	
PYYM_1328000	-	-	-	-	-	-	-	
